Name_Dataset,Size_dataset,Nb_class,Nb_features,Seed,Homophily_edge_train,Homophily_edge_test,Homophily_node_train,Homophily_node_test,Homophily_edge_insensitive_train,Homophily_edge_insensitive_test
ENZYMES,600,6,3,12345,0.667,0.66,0.665,0.664,0.37,0.399
MUTAG,188,2,7,12345,0.721,0.722,0.661,0.662,0.034,0.035
ENZYMES,600,6,3,12345,0.667,0.66,0.665,0.664,0.37,0.399
MUTAG,188,2,7,12345,0.721,0.722,0.661,0.662,0.034,0.035
ENZYMES,600,6,3,12345,0.667,0.66,0.665,0.664,0.37,0.399
MUTAG,188,2,7,12345,0.721,0.722,0.661,0.662,0.034,0.035
ENZYMES,600,6,3,12345,0.667,0.66,0.665,0.664,0.37,0.399
MUTAG,188,2,7,12345,0.721,0.722,0.661,0.662,0.034,0.035
ENZYMES,600,6,3,12345,0.667,0.66,0.665,0.664,0.37,0.399
MUTAG,188,2,7,12345,0.721,0.722,0.661,0.662,0.034,0.035
ENZYMES,600,6,3,12345,0.667,0.66,0.665,0.664,0.37,0.399
MUTAG,188,2,7,12345,0.721,0.722,0.661,0.662,0.034,0.035
ENZYMES,600,6,3,12345,0.667,0.66,0.665,0.664,0.37,0.399
MUTAG,188,2,7,12345,0.721,0.722,0.661,0.662,0.034,0.035
ENZYMES,600,6,3,12345,0.667,0.66,0.665,0.664,0.37,0.399
MUTAG,188,2,7,12345,0.721,0.722,0.661,0.662,0.034,0.035
ENZYMES,600,6,3,12345,0.667,0.66,0.665,0.664,0.37,0.399
MUTAG,188,2,7,12345,0.721,0.722,0.661,0.662,0.034,0.035
MUTAG,188,2,7,12345,0.721,0.722,0.661,0.662,0.034,0.035
PROTEINS,1113,2,3,12345,0.657,0.654,0.652,0.648,0.372,0.367
ENZYMES,600,6,3,12345,0.667,0.66,0.665,0.664,0.37,0.399
MUTAG,188,2,7,12345,0.721,0.722,0.661,0.662,0.034,0.035
PROTEINS,1113,2,3,12345,0.657,0.654,0.652,0.648,0.372,0.367
